modelKey,model,scenario,order,pick,ok,errored,turns,evalCalls,repl,program,workflow,tokensIn,tokensOut,costUsd
"glm","z-ai/glm-4.7-flash","merged-prs-open-linear","A","repl",1,0,3,2,2,0,0,11308,1051,0.001099
"glm","z-ai/glm-4.7-flash","merged-prs-open-linear","B","repl",1,0,2,1,1,0,0,7003,642,0.000677
"glm","z-ai/glm-4.7-flash","reconcile-ghost-issues","A","repl",0,0,2,1,1,0,0,6879,601,0.000653
"glm","z-ai/glm-4.7-flash","reconcile-ghost-issues","B","repl",0,0,2,1,1,0,0,6843,667,0.000677
"glm","z-ai/glm-4.7-flash","repo-health-report","A","repl",0,0,2,1,1,0,0,6999,767,0.000727
"glm","z-ai/glm-4.7-flash","repo-health-report","B","repl",0,0,2,1,1,0,0,7314,864,0.000784
"glm","z-ai/glm-4.7-flash","incident-branch","A","repl",1,0,2,1,1,0,0,6756,467,0.000592
"glm","z-ai/glm-4.7-flash","incident-branch","B","repl",0,0,2,1,1,0,0,7053,264,0.000529
"glm","z-ai/glm-4.7-flash","escalate-hot-services","A","repl",1,0,5,4,4,0,0,19196,943,0.001529
"glm","z-ai/glm-4.7-flash","escalate-hot-services","B","repl",0,0,4,3,3,0,0,15073,1203,0.001386
"glm","z-ai/glm-4.7-flash","incident-commander","A","repl",0,1,6,6,6,0,0,26454,3535,0.003001
"glm","z-ai/glm-4.7-flash","incident-commander","B","repl",1,0,2,1,1,0,0,7402,805,0.000766
"deepseek","deepseek/deepseek-v3.2","merged-prs-open-linear","A","program",1,0,7,5,0,5,0,48380,2112,0.011803
"deepseek","deepseek/deepseek-v3.2","merged-prs-open-linear","B","repl",0,1,5,4,4,0,0,25947,2480,0.006793
"deepseek","deepseek/deepseek-v3.2","reconcile-ghost-issues","A","repl",0,1,4,3,3,0,0,18158,1890,0.004806
"deepseek","deepseek/deepseek-v3.2","reconcile-ghost-issues","B","program",1,0,3,2,0,2,0,13088,1652,0.003564
"deepseek","deepseek/deepseek-v3.2","repo-health-report","A","repl",1,0,2,1,1,0,0,7593,553,0.001928
"deepseek","deepseek/deepseek-v3.2","repo-health-report","B","repl",1,0,3,2,2,0,0,12296,1129,0.003203
"deepseek","deepseek/deepseek-v3.2","incident-branch","A","repl",1,0,3,2,2,0,0,11901,851,0.003017
"deepseek","deepseek/deepseek-v3.2","incident-branch","B","repl",1,0,4,3,3,0,0,16432,1088,0.004136
"deepseek","deepseek/deepseek-v3.2","escalate-hot-services","A","repl",1,0,7,6,6,0,0,35469,2687,0.009044
"deepseek","deepseek/deepseek-v3.2","escalate-hot-services","B","repl",1,0,6,5,5,0,0,28222,1360,0.006929
"deepseek","deepseek/deepseek-v3.2","incident-commander","A","repl",1,0,10,9,9,0,0,49734,2108,0.012112
"deepseek","deepseek/deepseek-v3.2","incident-commander","B","workflow",1,0,7,6,0,0,6,33974,1509,0.008298
"xiaomi","xiaomi/mimo-v2.5","merged-prs-open-linear","A","repl",1,0,7,6,6,0,0,32341,1707,0.003874
"xiaomi","xiaomi/mimo-v2.5","merged-prs-open-linear","B","workflow",1,0,3,2,0,0,2,12890,1559,0.001790
"xiaomi","xiaomi/mimo-v2.5","reconcile-ghost-issues","A","repl",1,0,6,2,2,0,0,27394,1559,0.003313
"xiaomi","xiaomi/mimo-v2.5","reconcile-ghost-issues","B","program",1,0,4,3,0,3,0,18020,2025,0.002459
"xiaomi","xiaomi/mimo-v2.5","repo-health-report","A","repl",1,0,2,1,1,0,0,7819,929,0.001081
"xiaomi","xiaomi/mimo-v2.5","repo-health-report","B","repl",1,0,5,2,2,0,0,20755,812,0.002407
"xiaomi","xiaomi/mimo-v2.5","incident-branch","A","repl",1,0,2,1,1,0,0,7212,292,0.000839
"xiaomi","xiaomi/mimo-v2.5","incident-branch","B","repl",1,0,4,3,2,0,1,16008,707,0.001879
"xiaomi","xiaomi/mimo-v2.5","escalate-hot-services","A","repl",1,0,4,3,3,0,0,16777,988,0.002038
"xiaomi","xiaomi/mimo-v2.5","escalate-hot-services","B","repl",1,0,4,3,3,0,0,18762,973,0.002242
"xiaomi","xiaomi/mimo-v2.5","incident-commander","A","repl",1,0,4,3,3,0,0,17062,1234,0.002137
"xiaomi","xiaomi/mimo-v2.5","incident-commander","B","repl",1,0,4,3,3,0,0,19370,1638,0.002492
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","merged-prs-open-linear","A","repl",1,0,5,1,1,0,0,20118,383,0.001079
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","merged-prs-open-linear","B","repl",1,0,5,1,1,0,0,20162,489,0.001101
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","reconcile-ghost-issues","A","repl",0,0,19,11,11,0,0,103569,2766,0.005704
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","reconcile-ghost-issues","B","repl",0,0,5,1,1,0,0,20680,412,0.001112
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","repo-health-report","A","program",1,0,6,1,0,1,0,26071,644,0.001426
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","repo-health-report","B","workflow",0,0,5,1,0,0,1,20648,734,0.001172
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","incident-branch","A","repl",1,0,6,1,1,0,0,25813,447,0.001376
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","incident-branch","B","repl",1,0,7,1,1,0,0,30899,473,0.001635
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","escalate-hot-services","A","",0,0,12,0,0,0,0,65614,505,0.003377
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","escalate-hot-services","B","workflow",0,0,9,1,0,0,1,41535,673,0.002205
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","incident-commander","A","",0,0,6,0,0,0,0,27244,181,0.001397
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","incident-commander","B","repl",1,0,13,5,3,1,1,77797,2500,0.004365